country_code,customer_id,paperless_date,invoice_number,invoice_date,due_date,invoice_amount,disputed,settled_date,paperless_bill,days_to_settle,days_late,payment_status,payment_delay_band,invoice_month,payment_delay _sort
391,0379-NEVHP,2013-04-06,611365,2013-01-02,2013-02-01,55.94,No,2013-01-15,Paper,13,0,On Time,On Time,2013-01-01,1
406,8976-AMJEO,2012-03-03,7900770,2013-01-26,2013-02-25,61.74,Yes,2013-03-03,Electronic,36,6,Late,1–7 Days Late,2013-01-01,2
391,2820-XGXSB,2012-01-26,9231909,2013-07-03,2013-08-02,65.88,No,2013-07-08,Electronic,5,0,On Time,On Time,2013-07-01,1
406,9322-YCTQO,2012-04-06,9888306,2013-02-10,2013-03-12,105.92,No,2013-03-17,Electronic,35,5,Late,1–7 Days Late,2013-02-01,2
818,6627-ELFBK,2012-11-26,15752855,2012-10-25,2012-11-24,72.27,Yes,2012-11-28,Paper,34,4,Late,1–7 Days Late,2012-10-01,2
818,5148-SYKLB,2013-08-28,18104516,2012-01-27,2012-02-26,94,Yes,2012-02-22,Paper,26,0,On Time,On Time,2012-01-01,1
897,8690-EEBEO,2012-12-05,23864272,2013-08-13,2013-09-12,74.69,No,2013-09-09,Electronic,27,0,On Time,On Time,2013-08-01,1
770,4460-ZXNDN,2013-06-27,27545037,2012-12-16,2013-01-15,75.06,No,2013-01-12,Paper,27,0,On Time,On Time,2012-12-01,1
770,3831-FXWYK,2013-03-08,28049695,2012-05-14,2012-06-13,80.07,Yes,2012-07-01,Paper,48,18,Late,15–30 Days Late,2012-05-01,4
897,7654-DOLHO,2012-04-04,32277701,2013-07-01,2013-07-31,48.33,No,2013-07-26,Electronic,25,0,On Time,On Time,2013-07-01,1
770,3993-QUNVJ,2012-12-31,35868002,2012-03-31,2012-04-30,75.33,No,2012-04-16,Paper,16,0,On Time,On Time,2012-03-01,1
406,5284-DJOZO,2012-09-11,36478577,2013-08-07,2013-09-06,73.35,No,2013-08-15,Electronic,8,0,On Time,On Time,2013-08-01,1
818,5924-UOPGH,2013-06-06,36620839,2013-05-08,2013-06-07,90.08,Yes,2013-06-09,Paper,32,2,Late,1–7 Days Late,2013-05-01,2
406,9117-LYRCE,2013-07-05,41324194,2012-10-21,2012-11-20,57.17,No,2012-11-30,Paper,40,10,Late,8–14 Days Late,2012-10-01,3
818,7695-NKUXM,2012-11-21,42511106,2012-11-07,2012-12-07,50.02,No,2012-11-18,Paper,11,0,On Time,On Time,2012-11-01,1
391,8820-BLYDZ,2013-03-19,46372811,2013-02-21,2013-03-23,61.96,No,2013-02-28,Paper,7,0,On Time,On Time,2013-02-01,1
406,8976-AMJEO,2012-03-03,46937392,2013-05-16,2013-06-15,69.88,No,2013-06-04,Electronic,19,0,On Time,On Time,2013-05-01,1
818,5148-SYKLB,2013-08-28,49331333,2013-05-29,2013-06-28,68.8,Yes,2013-07-10,Paper,42,12,Late,8–14 Days Late,2013-05-01,3
818,3568-JJMFW,2012-01-09,52765186,2013-10-20,2013-11-19,96.23,Yes,2013-11-09,Electronic,20,0,On Time,On Time,2013-10-01,1
818,5613-UHVMG,2012-05-31,55416013,2012-11-30,2012-12-30,42.01,Yes,2013-01-16,Electronic,47,17,Late,15–30 Days Late,2012-11-01,4
406,6833-ETVHD,2012-04-30,57081728,2012-11-04,2012-12-04,86.65,No,2012-11-29,Electronic,25,0,On Time,On Time,2012-11-01,1
770,7758-WKLVM,2012-02-06,57781566,2012-06-24,2012-07-24,71.49,No,2012-08-07,Electronic,44,14,Late,8–14 Days Late,2012-06-01,3
818,6004-KITZM,2013-09-01,58393139,2013-01-06,2013-02-05,88.16,No,2013-01-29,Paper,23,0,On Time,On Time,2013-01-01,1
391,9841-XLGBV,2013-01-03,72380981,2013-02-16,2013-03-18,26.44,No,2013-03-06,Electronic,18,0,On Time,On Time,2013-02-01,1
897,8690-EEBEO,2012-12-05,75181247,2012-02-18,2012-03-19,83.33,No,2012-03-30,Paper,41,11,Late,8–14 Days Late,2012-02-01,3
391,8156-PCYBM,2012-03-03,81932735,2012-01-24,2012-02-23,72.7,No,2012-03-03,Paper,39,9,Late,8–14 Days Late,2012-01-01,3
818,7946-HJDUR,2012-02-21,86171934,2013-05-29,2013-06-28,41.69,No,2013-06-22,Electronic,24,0,On Time,On Time,2013-05-01,1
